Full,"_r
deg","_RAJ2000
""h:m:s""","_DEJ2000
""d:m:s""",HIP,RAhms,DEdms,"Vmag
mag","RAICRS
deg","DEICRS
deg","Plx
mas","pmRA
mas/yr","pmDE
mas/yr","e_Plx
mas","B-V
mag",Notes,"_RA.icrs
deg","_DE.icrs
deg"
87,2.846853,03 57 47.2951842,22 55 27.820688,18531,03 57 47.20,22 55 27.7,8.78,59.44664805,22.9243679,27.72,157.34,11,2.77,,,59.44706327,22.92439464
88,2.856466,03 34 07.3095372,24 20 40.014925,16639,03 34 07.30,24 20 40.4,9.54,53.53040401,24.34455483,8.11,19.64,-43.71,1.47,0.51,,53.5304564,24.34444859
89,2.871081,03 48 10.5900685,21 19 44.646094,17763,03 48 10.59,21 19 44.8,7.97,57.04414295,21.32910229,11.94,-6.77,-13.96,1.31,0.231,,57.04412529,21.32906836
90,2.874966,03 42 23.9968090,21 28 24.567834,17316,03 42 23.98,21 28 25.0,9.85,55.59992368,21.47360744,6.28,24.13,-47.88,1.66,0.55,,55.5999867,21.47349106
91,2.883037,03 52 59.3528789,26 40 42.745182,18163,03 52 59.28,26 40 43.8,8,58.24701277,26.67883936,11.45,106.94,-123.03,1.1,0.644,,58.24730366,26.67854033
92,2.883741,03 35 31.6955754,22 49 24.918434,16753,03 35 31.68,22 49 25.3,9.86,53.88200182,22.82369569,9.98,23.92,-44.12,1.58,0.54,,53.8820649,22.82358845
93,2.888017,03 49 00.2012241,21 20 31.872350,17837,03 49 00.21,21 20 31.9,8.11,57.2508692,21.34218533,10.02,-11.79,0.59,1.37,0.528,,57.25083843,21.34218676
94,2.891421,03 39 13.2027528,21 50 35.706008,17043,03 39 13.19,21 50 36.1,7.27,54.80495415,21.84335278,7.78,21.89,-41.6,0.98,0.068,,54.80501147,21.84325167
95,2.89231,03 59 03.4379545,23 37 41.148454,18620,03 59 03.44,23 37 41.1,7.36,59.76434171,23.62809497,7.56,-6.37,0.75,1.09,1.067,,59.76432481,23.62809679
96,2.899637,03 56 52.0766036,22 28 40.696081,18471,03 56 52.03,22 28 41.7,5.62,59.21680322,22.47825021,22.31,69.43,-114.82,0.92,0.345,,59.21698585,22.47797113
